ticker,company_name,close,dollar_change,percent_change,volume,avg_volume,volume_ratio,collection_timestamp,market_cap,sector,industry,rsi,macd,recent_news
MRVL,"Marvell Technology, Inc.",105.42,-3.7,-3.39,11979800,14381828,0.83,2025-02-13 06:04:52.734176,91219918848,Technology,Semiconductors,41.56,,No relevant news found
CSGP,"CoStar Group, Inc.",73.27,-2.73,-3.59,2595800,2483608,1.05,2025-02-13 06:04:52.734176,30037768192,Real Estate,Real Estate Services,41.52,,No relevant news found
SNPS,"Synopsys, Inc.",509.71,-19.43,-3.67,979700,1094794,0.89,2025-02-13 06:04:52.734176,78789951488,Technology,Software - Infrastructure,46.25,,No relevant news found
FANG,"Diamondback Energy, Inc.",155.46,-6.55,-4.04,2389200,2090447,1.14,2025-02-13 06:04:52.734176,45392609280,Energy,Oil & Gas E&P,31.08,,"Viper Energy price target lowered to $58 from $64 at Raymond James (TipRanks); Diamondback Energy, Inc. Announces Appointment to the Board of Directors (GlobeNewswire)"
BIIB,Biogen Inc.,133.43,-5.96,-4.28,3533500,1461106,2.42,2025-02-13 06:04:52.734176,19443286016,Healthcare,Drug Manufacturers - General,29.79,,Q4 2024 Biogen Inc Earnings Call (Thomson Reuters StreetEvents); Biogen Hammered As Lackluster Guidance Drags On Fourth-Quarter Beat (Investor's Business Daily)
